Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 270.02s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.272704 m | Filtered1: 0.278359 m | Middle: 0.272573 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 271.32s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.271913 m | Filtered1: 0.278640 m | Middle: 0.271727 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 271.44s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.271166 m | Filtered1: 0.278904 m | Middle: 0.270919 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 272.43s | Raw0: 0.26 m | Raw1: 0.28 m | Filtered0: 0.270461 m | Filtered1: 0.279152 m | Middle: 0.270150 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 272.55s | Raw0: 0.26 m | Raw1: 0.27 m | Filtered0: 0.269798 m | Filtered1: 0.278971 m | Middle: 0.269451 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 273.85s | Raw0: 0.25 m | Raw1: 0.27 m | Filtered0: 0.268657 m | Filtered1: 0.278801 m | Middle: 0.268232 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 273.97s | Raw0: 0.25 m | Raw1: 0.27 m | Filtered0: 0.267549 m | Filtered1: 0.278641 m | Middle: 0.267042 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 275.06s | Raw0: 0.25 m | Raw1: 0.27 m | Filtered0: 0.266483 m | Filtered1: 0.278491 m | Middle: 0.265889 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 275.18s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.265464 m | Filtered1: 0.277967 m | Middle: 0.264821 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 276.38s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.264493 m | Filtered1: 0.277450 m | Middle: 0.263804 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 276.50s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.263574 m | Filtered1: 0.276942 m | Middle: 0.262842 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 277.59s | Raw0: 0.25 m | Raw1: 0.26 m | Filtered0: 0.262706 m | Filtered1: 0.276446 m | Middle: 0.261934 m | Expected: 0.313790 m | Method: direct | Mode: TEST
