Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 52.96s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.509574 m | Filtered1: 0.495468 m | Middle: 0.508115 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 53.07s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.509328 m | Filtered1: 0.495155 m | Middle: 0.507856 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 54.17s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.509099 m | Filtered1: 0.494858 m | Middle: 0.507615 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 54.29s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508887 m | Filtered1: 0.494576 m | Middle: 0.507389 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 55.58s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508690 m | Filtered1: 0.494309 m | Middle: 0.507178 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 55.70s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508506 m | Filtered1: 0.494056 m | Middle: 0.506980 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 56.70s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508333 m | Filtered1: 0.493816 m | Middle: 0.506794 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 56.81s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508172 m | Filtered1: 0.493588 m | Middle: 0.506619 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 58.11s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.508021 m | Filtered1: 0.493372 m | Middle: 0.506455 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 58.23s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507879 m | Filtered1: 0.493167 m | Middle: 0.506300 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 59.22s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507746 m | Filtered1: 0.492972 m | Middle: 0.506154 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 59.34s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507620 m | Filtered1: 0.492788 m | Middle: 0.506016 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 60.64s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507501 m | Filtered1: 0.492612 m | Middle: 0.505885 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 60.75s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507389 m | Filtered1: 0.492445 m | Middle: 0.505762 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 61.75s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507283 m | Filtered1: 0.492287 m | Middle: 0.505645 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 61.87s | Raw0: 0.50 m | Raw1: 0.49 m | Filtered0: 0.507183 m | Filtered1: 0.492136 m | Middle: 0.505534 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 63.16s | Raw0: 0.51 m | Raw1: 0.49 m | Filtered0: 0.507429 m | Filtered1: 0.491992 m | Middle: 0.505694 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 63.28s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.507667 m | Filtered1: 0.492203 m | Middle: 0.505925 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 64.27s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.507554 m | Filtered1: 0.492406 m | Middle: 0.505882 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 64.39s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.507448 m | Filtered1: 0.492602 m | Middle: 0.505841 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 65.69s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.507346 m | Filtered1: 0.492790 m | Middle: 0.505801 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 65.81s | Raw0: 0.50 m | Raw1: 0.50 m | Filtered0: 0.507249 m | Filtered1: 0.492970 m | Middle: 0.505762 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 66.80s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.507480 m | Filtered1: 0.493144 m | Middle: 0.505980 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 66.92s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.507704 m | Filtered1: 0.493311 m | Middle: 0.506192 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 68.21s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.507923 m | Filtered1: 0.493470 m | Middle: 0.506398 m | Expected: 0.508394 m | Method: direct | Mode: TEST
Time: 68.33s | Raw0: 0.51 m | Raw1: 0.50 m | Filtered0: 0.508136 m | Filtered1: 0.493624 m | Middle: 0.506598 m | Expected: 0.508394 m | Method: direct | Mode: TEST
