Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 53.03s | Raw0: 0.96 m | Raw1: 0.98 m | Filtered0: 0.984745 m | Filtered1: 0.986548 m | Middle: 0.984698 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 53.15s | Raw0: 0.96 m | Raw1: 0.98 m | Filtered0: 0.983232 m | Filtered1: 0.985983 m | Middle: 0.983121 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 54.14s | Raw0: 0.97 m | Raw1: 0.98 m | Filtered0: 0.982423 m | Filtered1: 0.985469 m | Middle: 0.982287 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 54.26s | Raw0: 0.97 m | Raw1: 0.98 m | Filtered0: 0.981682 m | Filtered1: 0.985000 m | Middle: 0.981522 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 55.56s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.982188 m | Filtered1: 0.984570 m | Middle: 0.982106 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 55.68s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.982649 m | Filtered1: 0.984176 m | Middle: 0.982615 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 56.67s | Raw0: 0.98 m | Raw1: 0.98 m | Filtered0: 0.982514 m | Filtered1: 0.983813 m | Middle: 0.982490 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 56.79s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982393 m | Filtered1: 0.983987 m | Middle: 0.982356 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 58.09s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982282 m | Filtered1: 0.984145 m | Middle: 0.982232 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 58.20s | Raw0: 0.98 m | Raw1: 0.99 m | Filtered0: 0.982182 m | Filtered1: 0.984290 m | Middle: 0.982117 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 59.20s | Raw0: 0.99 m | Raw1: 0.99 m | Filtered0: 0.982559 m | Filtered1: 0.984424 m | Middle: 0.982508 m | Expected: 1.004223 m | Method: direct | Mode: TEST
Time: 59.31s | Raw0: 0.99 m | Raw1: 0.98 m | Filtered0: 0.982912 m | Filtered1: 0.984106 m | Middle: 0.982891 m | Expected: 1.004223 m | Method: direct | Mode: TEST
